AP,MS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS
easymock,model1,0.938893,0.8856571252693136,0.6619718309859155,0.7750500200518499,ROS,0.83239819,0.7149892274546014,0.6619718309859155,0.6887733746496405,ADA,0.92003353,0.853185595567867,0.7887323943661971,0.8213150068921384,ROS,0.93733778,0.8829639889196675,0.6971830985915493,0.7910997179592257,ROS
easymock,model2,0.85349468,0.7466143428747307,0.7816901408450704,0.7639584981493129,RUS,0.83482344,0.7185287780855648,0.6619718309859155,0.6905627009293978,SMOTE,0.94860595,0.9031240381655894,0.8309859154929577,0.8674534369747346,ROS,0.95906763,0.9218990458602648,0.6338028169014085,0.7794422517679596,ROS
easymock,model3,0.41754321,0.2713911972914743,0.9366197183098592,0.6003310198831076,ENN,0.44255165,0.2899353647276085,0.7394366197183099,0.5122031394841744,ENN,0.41468975,0.2690827947060634,0.9295774647887324,0.5956818395983494,SMOTE,0.41754321,0.2713911972914743,0.9366197183098592,0.6003310198831076,ENN
jgit,model1,0.82577186,0.704811058348228,0.6731937879810939,0.6891272071151305,RUS,0.86046786,0.7562795469207746,0.611748818365969,0.6845846023875148,ENN,0.83862184,0.7235835986166489,0.6853477380148548,0.7046165738708517,RUS,0.84443147,0.7322718475352448,0.7218095881161377,0.7270820092479424,RUS
jgit,model2,0.82786451,0.7078886973443466,0.6961512491559757,0.7020662974627314,RUS,0.8623089,0.7591086480598183,0.613099257258609,0.6866802082428954,ENN,0.81541428,0.6901420367412985,0.7326130992572586,0.7112099473634729,RUS,0.85163513,0.7431070404958066,0.7413909520594193,0.7422557691676177,RUS
jgit,model3,0.64002227,0.4733641449768913,0.6637407157326131,0.5678010707244011,ENN,0.80981762,0.6813374509534336,0.3686698176907494,0.5262376403576998,ENN,0.85268801,0.7437997736719089,0.2957461174881836,0.5215412799299679,RUS,0.64232697,0.4758336594291033,0.6603646185010128,0.5673708502231913,ENN
Openfire,model1,0.86177567,0.7591567291311755,0.7385786802030457,0.7489856994406854,RUS,0.8620312,0.759312123025922,0.6527918781725889,0.7066627889308649,ENN,0.90972905,0.8356910999585616,0.6842639593908629,0.7608458146723207,ROS,0.86208458,0.7598013260279018,0.8010152284263959,0.7801719562280773,RUS
Openfire,model2,0.86481411,0.7638300566324416,0.7421319796954314,0.7531054351912326,RUS,0.86252135,0.7600833371702196,0.6598984771573604,0.7105653683245209,ADA,0.93181797,0.8733194438049634,0.6766497461928934,0.7761123013485337,ROS,0.87092881,0.7734702334361618,0.8111675126903554,0.792102716422485,RUS
Openfire,model3,0.50292581,0.3419471430544684,0.7979695431472081,0.5673435053175354,ADA,0.70958205,0.5522583912703163,0.4649746192893401,0.50911699145068,ROS,0.48641165,0.3275070215019107,0.7984771573604061,0.5602915411558991,ROS,0.50209012,0.3412162162162162,0.798984771573604,0.5674756436368678,NONE
pdfbox,model1,0.89540241,0.8268306933264087,0.8991138377641446,0.8591680260069915,ROS,0.8047488,0.6914437808361464,0.5835037491479209,0.6431546154794637,ENN,0.87371058,0.7921643728901584,0.7689161554192229,0.7817638106507034,ROS,0.89635174,0.8282913528953518,0.9011588275391956,0.8608900975609445,ROS
pdfbox,model2,0.94242152,0.900220721890418,0.878323108384458,0.8904243797644469,ROS,0.85765393,0.7675279148273175,0.7055214723926381,0.7397880734998994,ROS,0.89162571,0.8203388730199948,0.8534423994546694,0.8351484078782997,ROS,0.94477222,0.9039859776681382,0.8687798227675528,0.8882357892628034,ROS
pdfbox,model3,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS,0.9220202,0.8621786548948325,0.4976141785957736,0.6990833323918095,RUS
wro4j,model1,0.75399647,0.6127198201771784,0.6337209302325582,0.6228920091370054,RUS,0.85236611,0.7474106395169465,0.6017441860465116,0.6768550028909891,SMOTE,0.79744367,0.6703248270086826,0.7049418604651163,0.6870920838164861,RUS,0.78891188,0.6583366388999075,0.6555232558139535,0.6569739364384072,RUS
wro4j,model2,0.77248765,0.6366961963947287,0.6569767441860465,0.6465193706839963,RUS,0.84420911,0.7354665256291595,0.6177325581395349,0.6784403893374825,SMOTE,0.81331017,0.6921415663978139,0.7107558139534884,0.701157644261413,RUS,0.8070938,0.6831063510952444,0.6656976744186046,0.6746742087833216,RUS
wro4j,model3,0.84398739,0.7338798536735863,0.4636627906976744,0.6029963423966986,ENN,0.7717457,0.6338313720304993,0.4883720930232558,0.5633760833281363,ADA,0.71383157,0.5635770637753977,0.6351744186046512,0.5982562697995757,SMOTE,0.848084,0.7398298735069858,0.4491279069767442,0.5990242052951081,ENN
