Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Implicit Method,"clone()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,00,0,0,0,0
File,"main/java/org/apache/commons/csv/Assertions.java",main/java/org/apache/commons/csv/Assertions.java,1,1,1,1,4,0,3,0,,,,1,1,0,,2,1,0,2,,1,1,0,0,,38,5,11,5,2,22,,,3,7,5,2,,,,,2,2,2,1,,1,,2,00,3,3,3,2
File,"main/java/org/apache/commons/csv/CSVFormat.java",main/java/org/apache/commons/csv/CSVFormat.java,2,2,2,1,18,0,8,8,,,,2,4,13,,85,83,32,87,,1,12,0,74,,2329,173,908,229,559,1261,,,381,580,200,415,,,,,32,32,32,32,,5,,1,39,224,220,247,129
File,"main/java/org/apache/commons/csv/CSVParser.java",main/java/org/apache/commons/csv/CSVParser.java,2,2,2,1,18,0,8,9,,,,3,6,0,,27,21,12,27,,3,4,0,20,,701,53,282,95,153,370,,,145,200,86,128,,,,,12,12,17,7,,5,,1,31,61,57,68,33
File,"main/java/org/apache/commons/csv/CSVPrinter.java",main/java/org/apache/commons/csv/CSVPrinter.java,2,2,2,1,22,0,8,14,,,,1,0,0,,13,13,3,13,,0,0,0,13,,389,21,123,33,63,245,,,58,93,36,60,,,,,7,6,8,5,,3,,1,99,33,32,36,17
File,"main/java/org/apache/commons/csv/CSVRecord.java",main/java/org/apache/commons/csv/CSVRecord.java,1,1,1,1,11,0,4,6,,,,1,0,2,,21,21,5,21,,3,2,0,16,,303,32,115,45,49,156,,,50,79,43,41,,,,,4,4,4,1,,2,,1,36,28,28,32,21
File,"main/java/org/apache/commons/csv/Constants.java",main/java/org/apache/commons/csv/Constants.java,0,0,0,0,0,0,0,0,,,,1,0,20,,0,0,0,0,,0,0,0,0,,82,23,23,22,20,36,,,21,22,22,1,,,,,0,0,0,0,,0,,1,57,0,0,0,0
File,"main/java/org/apache/commons/csv/ExtendedBufferedReader.java",main/java/org/apache/commons/csv/ExtendedBufferedReader.java,2,2,2,1,13,0,7,5,,,,1,0,0,,10,10,4,10,,5,0,0,5,,191,28,89,32,44,77,,,46,67,29,42,,,,,9,9,9,1,,4,,0,87,21,21,26,10
File,"main/java/org/apache/commons/csv/IOUtils.java",main/java/org/apache/commons/csv/IOUtils.java,1,1,1,1,22,0,6,16,,,,1,4,2,,4,0,0,4,,4,0,0,0,,139,9,34,16,15,96,,,20,27,16,11,,,,,2,2,2,1,,1,,2,82,6,6,6,4
File,"main/java/org/apache/commons/csv/Lexer.java",main/java/org/apache/commons/csv/Lexer.java,3,2,4,2,17,0,11,6,,,,1,0,3,,21,21,8,21,,16,4,0,1,,461,41,261,60,164,169,,,125,187,59,140,,,,,14,14,19,9,,5,,0,65,72,62,86,47
File,"main/java/org/apache/commons/csv/QuoteMode.java",main/java/org/apache/commons/csv/QuoteMode.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,2,5,2,,0,0,0,2,,50,6,8,7,0,36,,,1,2,2,0,,,,,0,0,0,0,,0,,4,50,0,0,0,0
